target tetha2,robot tetha 2,target kecepatan tetha 2,robot keepatan tetha 2,target akselerasi tetha 2,robot percepatan tetha 2
5.908543586730957,5.060571193695068,0.7398,0.8229,-0.0464,0.0062
6.034700870513916,5.084571361541748,0.757,0.144,-0.0472,-0.0407
6.1632256507873535,5.21485710144043,0.7712,0.7817,-0.0483,0.0383
6.294042587280273,5.386285781860352,0.7849,1.0286,-0.0492,0.0148
6.428219318389893,5.403428554534912,0.8051,0.1029,-0.05,-0.0555
6.5646138191223145,5.595428466796875,0.8184,1.152,-0.0513,0.063
6.703988075256348,5.694857120513916,0.8363,0.5966,-0.0522,-0.0333
6.845693588256836,5.808000087738037,0.8503,0.6789,-0.0533,0.0049
6.990461826324463,5.8971428871154785,0.8686,0.5349,-0.0542,-0.0086
7.138611793518066,6.075428485870361,0.8889,1.0698,-0.0554,0.0321
7.289065361022949,6.168000221252441,0.9028,0.5555,-0.0567,-0.0309
7.4426398277282715,6.339428424835205,0.9215,1.0286,-0.0576,0.0284
7.599715232849121,6.497142791748047,0.9425,0.9463,-0.0587,-0.0049
7.7595648765563965,6.579428672790527,0.9591,0.4937,-0.0601,-0.0272
7.922064304351807,6.71999979019165,0.975,0.8435,-0.0612,0.021
8.087610244750977,6.905142784118652,0.9933,1.1109,-0.0622,0.016
8.25696086883545,6.990857124328613,1.0161,0.5143,-0.0633,-0.0358
8.429145812988281,7.141714096069336,1.0332,0.9052,-0.0648,0.0235
8.604905128479004,7.330285549163818,1.0546,1.1315,-0.0659,0.0136
8.783390998840332,7.4365715980529785,1.071,0.6377,-0.0672,-0.0296
8.966120719909668,7.58057165145874,1.0964,0.864,-0.0683,0.0136
9.153022766113281,7.793142795562744,1.1215,1.2755,-0.0699,0.0247
9.342155456542969,7.885714054107666,1.1348,0.5554,-0.0715,-0.0432
9.535652160644531,8.074285507202148,1.161,1.1315,-0.0724,0.0346
9.732312202453613,8.303999900817871,1.18,1.3783,-0.074,0.0148
9.933008193969727,8.40685749053955,1.2042,0.6172,-0.0752,-0.0457
10.136739730834961,8.598856925964355,1.2224,1.152,-0.0768,0.0321
10.344947814941406,8.83885669708252,1.2493,1.4401,-0.078,0.0173
10.55700397491455,8.931428909301758,1.2724,0.5555,-0.0796,-0.0531
10.772679328918457,9.171428680419922,1.2941,1.4401,-0.0811,0.0531
10.992598533630371,9.397714614868164,1.3196,1.3578,-0.0825,-0.0049
11.216567039489746,9.510857582092285,1.3439,0.6789,-0.0841,-0.0407
11.44553279876709,9.75428581237793,1.3738,1.4606,-0.0857,0.0469
11.676883697509766,9.997714042663574,1.3882,1.4606,-0.0876,0.0
11.913168907165527,10.121142387390137,1.4178,0.7406,-0.0886,-0.0432
12.155156135559082,10.371428489685059,1.452,1.5018,-0.0904,0.0457
12.399314880371094,10.625143051147461,1.465,1.5223,-0.0925,0.0012
12.649102210998535,10.745142936706543,1.4988,0.72,-0.0935,-0.0481
12.901095390319824,11.009142875671387,1.512,1.5841,-0.0955,0.0518
13.15916633605957,11.286857604980469,1.5485,1.6664,-0.0965,0.0049
13.421621322631836,11.420571327209473,1.5748,0.8023,-0.0987,-0.0518
13.689627647399902,11.705142974853516,1.6081,1.7075,-0.1004,0.0543
13.960725784301758,11.99657154083252,1.6267,1.7486,-0.1025,0.0025
14.236906051635742,12.140571594238281,1.6571,0.864,-0.1038,-0.0531
14.518651008605957,12.432000160217285,1.6905,1.7486,-0.1057,0.0531
14.80655288696289,12.740571022033691,1.7275,1.8515,-0.1078,0.0062
15.094667434692383,12.887999534606934,1.7288,0.8846,-0.1101,-0.058
15.39098834991455,13.196571350097656,1.778,1.8515,-0.1103,0.058
15.69145679473877,13.51542854309082,1.8029,1.9132,-0.1133,0.0037
15.996316909790039,13.666285514831543,1.8292,0.9052,-0.115,-0.0605
16.308088302612305,13.988571166992188,1.8707,1.9338,-0.1167,0.0617
16.62325096130371,14.32800006866455,1.8911,2.0367,-0.1192,0.0062
16.943689346313477,14.492571830749512,1.9227,0.9875,-0.1206,-0.063
17.270471572875977,14.828571319580078,1.9608,2.0161,-0.1226,0.0617
17.59977149963379,15.178285598754883,1.9759,2.0984,-0.125,0.0049
17.936805725097656,15.353142738342285,2.0223,1.0492,-0.1261,-0.063
18.27946662902832,15.69942855834961,2.056,2.0778,-0.1289,0.0617
18.625640869140625,16.069713592529297,2.0771,2.2218,-0.1311,0.0086
18.979459762573242,16.251428604125977,2.123,1.0903,-0.1325,-0.0679
19.33770751953125,16.6182861328125,2.1496,2.2012,-0.1353,0.0667
19.700279235839844,17.005714416503906,2.1755,2.3247,-0.1371,0.0074
20.06821632385254,17.204570770263672,2.2077,1.1932,-0.1388,-0.0679
20.44231605529785,17.595428466796875,2.2447,2.3452,-0.1408,0.0691
20.820220947265625,18.00685691833496,2.2675,2.4687,-0.1431,0.0074
21.205293655395508,18.215999603271484,2.3105,1.2549,-0.1446,-0.0728
21.597217559814453,18.62057113647461,2.3516,2.4275,-0.1473,0.0704
21.992408752441406,19.062856674194336,2.3712,2.6538,-0.1499,0.0136
22.394786834716797,19.268571853637695,2.4144,1.2343,-0.1513,-0.0852
22.80318260192871,19.707427978515625,2.4505,2.6332,-0.1539,0.0839
23.217180252075195,20.15999984741211,2.4841,2.7155,-0.1563,0.0049
23.634109497070312,20.38971519470215,2.5017,1.3783,-0.1584,-0.0802
24.059539794921875,20.838857650756836,2.5527,2.695,-0.1596,0.079
24.488265991210938,21.312000274658203,2.5725,2.839,-0.1627,0.0086
24.92535400390625,21.54857063293457,2.6226,1.4195,-0.1641,-0.0852
25.368127822875977,22.011428833007812,2.6567,2.7773,-0.1672,0.0815
25.815332412719727,22.5017147064209,2.6833,2.9418,-0.1694,0.0099
26.2666015625,22.738285064697266,2.7077,1.4195,-0.1712,-0.0913
26.725627899169922,23.21485710144043,2.7543,2.8595,-0.1727,0.0864
27.19056510925293,23.718856811523438,2.7897,3.0241,-0.1756,0.0099
27.66102409362793,23.965713500976562,2.8229,1.4812,-0.1779,-0.0926
28.13601303100586,24.46285629272461,2.85,2.983,-0.1801,0.0901
28.618993759155273,24.99085807800293,2.898,3.1681,-0.1818,0.0111
29.105318069458008,25.24799919128418,2.9181,1.5429,-0.1848,-0.0975
29.60138702392578,25.779428482055664,2.9765,3.1887,-0.1862,0.0988
30.099933624267578,26.338285446166992,2.9914,3.3533,-0.1898,0.0099
30.599180221557617,26.605714797973633,2.9956,1.6046,-0.1909,-0.1049
31.110429763793945,27.154285430908203,3.0676,3.2916,-0.1912,0.1012
31.625001907348633,27.733715057373047,3.0876,3.4767,-0.1955,0.0111
32.1448860168457,28.014856338500977,3.1194,1.6869,-0.197,-0.1074
32.67079544067383,28.590856552124023,3.1556,3.4561,-0.199,0.1062
33.199371337890625,29.19085693359375,3.1716,3.6001,-0.2013,0.0086
33.738712310791016,29.48228645324707,3.2362,1.7486,-0.2024,-0.1111
34.27870559692383,30.07200050354004,3.2401,3.5384,-0.2063,0.1074
34.826576232910156,30.67542839050293,3.2874,3.6207,-0.2068,0.0049
35.37728500366211,30.97371482849121,3.3044,1.7898,-0.2097,-0.1099
35.93391418457031,31.566856384277344,3.3399,3.559,-0.2109,0.1062
36.49605178833008,32.17371368408203,3.373,3.6413,-0.2131,0.0049
37.06403732299805,32.478858947753906,3.408,1.8309,-0.2152,-0.1086
37.633392333984375,33.078857421875,3.4163,3.6001,-0.2174,0.1062
38.21059036254883,33.702857971191406,3.4633,3.7442,-0.218,0.0086
38.79146957397461,34.01485824584961,3.4854,1.8721,-0.2209,-0.1123
39.37702178955078,34.638858795166016,3.5135,3.7442,-0.2224,0.1123
39.96891784667969,35.26628494262695,3.5515,3.7647,-0.2242,0.0012
40.561302185058594,35.58514404296875,3.5544,1.9132,-0.2266,-0.1111
41.15888977050781,36.22285842895508,3.5857,3.8264,-0.2269,0.1148
41.763343811035156,36.85714340209961,3.6269,3.8059,-0.2288,-0.0012
42.375370025634766,37.17942810058594,3.6723,1.9338,-0.2314,-0.1123
42.9849853515625,37.81028747558594,3.6578,3.7853,-0.2342,0.1111
43.59883499145508,38.4514274597168,3.6832,3.847,-0.2335,0.0037
44.21859359741211,38.763427734375,3.7187,1.8721,-0.235,-0.1185
44.839866638183594,39.394287109375,3.7278,3.7853,-0.2372,0.1148
45.46624755859375,40.02171325683594,3.7584,3.7647,-0.2379,-0.0012
46.09434127807617,40.33371353149414,3.7687,1.8721,-0.2398,-0.1136
46.72816848754883,40.95771408081055,3.8031,3.7442,-0.2405,0.1123
47.36127471923828,41.578285217285156,3.7988,3.7236,-0.2426,-0.0012
47.99979019165039,41.893714904785156,3.8312,1.8927,-0.2425,-0.1099
48.63997268676758,42.52457046508789,3.8412,3.7853,-0.2444,0.1136
49.2854118347168,43.15542984008789,3.8728,3.7853,-0.2451,0.0
49.93180465698242,43.47428512573242,3.8785,1.9132,-0.2471,-0.1123
50.57997512817383,44.10514450073242,3.8892,3.7853,-0.2475,0.1123
51.23114013671875,44.74285888671875,3.9071,3.8264,-0.2482,0.0025
51.888648986816406,45.06171417236328,3.9452,1.9132,-0.2493,-0.1148
52.5414924621582,45.69599914550781,3.9172,3.8059,-0.2517,0.1136
53.19777297973633,46.33371353149414,3.9378,3.8264,-0.2501,0.0012
53.857215881347656,46.65257263183594,3.9568,1.9132,-0.2513,-0.1148
54.520206451416016,47.28342819213867,3.9781,3.7853,-0.2525,0.1123
55.178672790527344,47.910858154296875,3.951,3.7647,-0.2538,-0.0012
55.842498779296875,48.22285842895508,3.9831,1.8721,-0.2523,-0.1136
56.50679397583008,48.846858978271484,3.9859,3.7442,-0.2541,0.1123
57.1715087890625,49.467430114746094,3.9884,3.7236,-0.2544,-0.0012
57.835514068603516,49.7760009765625,3.9842,1.8515,-0.2546,-0.1123
58.50564956665039,50.41028594970703,4.021,3.8059,-0.2543,0.1173
59.17421340942383,51.04457092285156,4.0115,3.8059,-0.2565,-0.0
59.83739471435547,51.356571197509766,3.9792,1.8721,-0.2561,-0.116
60.50404739379883,51.9908561706543,4.0001,3.8059,-0.2541,0.116
61.16983413696289,52.628570556640625,3.9949,3.8264,-0.2553,0.0012
61.835533142089844,52.944000244140625,3.9944,1.8927,-0.255,-0.116
62.49978256225586,53.58514404296875,3.9857,3.847,-0.255,0.1173
63.16446304321289,54.21942901611328,3.9882,3.8059,-0.2545,-0.0025
63.82954406738281,54.53828430175781,3.9906,1.9132,-0.2546,-0.1136
64.49308013916016,55.17599868774414,3.9814,3.8264,-0.2547,0.1148
65.1551513671875,55.79999923706055,3.9726,3.7442,-0.2542,-0.0049
65.8177719116211,56.118858337402344,3.9759,1.9132,-0.2536,-0.1099
66.47698974609375,56.74285888671875,3.9555,3.7442,-0.2538,0.1099
67.13581848144531,57.36000061035156,3.9531,3.703,-0.2526,-0.0025
67.79167938232422,57.67543029785156,3.9353,1.8927,-0.2524,-0.1086
68.44813537597656,58.2994270324707,3.9389,3.7441,-0.2513,0.1111
69.09931945800781,58.926856994628906,3.9073,3.7647,-0.2514,0.0012
69.74765014648438,59.2457160949707,3.8901,1.9132,-0.2495,-0.1111
70.3967056274414,59.87314224243164,3.8945,3.7647,-0.2484,0.1111
71.04264831542969,60.50400161743164,3.8758,3.7853,-0.2486,0.0012
71.68517303466797,60.82628631591797,3.8553,1.9338,-0.2475,-0.1111
72.3240737915039,61.4605712890625,3.8336,3.8059,-0.2462,0.1123
72.96109008789062,62.09485626220703,3.8223,3.8059,-0.2448,-0.0
73.5970687866211,62.41714096069336,3.816,1.9338,-0.244,-0.1123
74.22885131835938,63.051429748535156,3.7908,3.8059,-0.2436,0.1123
74.8563232421875,63.68228530883789,3.765,3.7853,-0.2421,-0.0012
75.4799575805664,63.99771499633789,3.742,1.8927,-0.2404,-0.1136
76.10071563720703,64.62171173095703,3.7247,3.7441,-0.239,0.1111
76.716064453125,65.24571228027344,3.6922,3.7442,-0.2378,0.0
77.32714080810547,65.5577163696289,3.6666,1.8721,-0.2358,-0.1123
77.93758392333984,66.17828369140625,3.6628,3.7236,-0.2342,0.1111
78.54032897949219,66.81256866455078,3.6166,3.8059,-0.2338,0.0049
79.1441879272461,67.12799835205078,3.6233,1.8927,-0.231,-0.1148
79.7392578125,67.75543212890625,3.5706,3.7648,-0.2313,0.1123
80.33243560791016,68.38628387451172,3.5592,3.7853,-0.2281,0.0012
80.92015075683594,68.70513916015625,3.5264,1.9132,-0.2272,-0.1123
81.50270080566406,69.33943176269531,3.4954,3.8059,-0.2252,0.1136
82.08219909667969,69.9805679321289,3.4771,3.847,-0.2232,0.0025
82.65632629394531,70.29943084716797,3.4449,1.9133,-0.222,-0.116
83.22723388671875,70.93714141845703,3.4256,3.8264,-0.22,0.1148
83.78789520263672,71.57485961914062,3.3641,3.8265,-0.2187,0.0
84.34831237792969,71.89028930664062,3.3626,1.8927,-0.215,-0.116
84.90470123291016,72.51771545410156,3.3385,3.7647,-0.2147,0.1123
85.45267486572266,73.14171600341797,3.288,3.7442,-0.2132,-0.0012
85.99824523925781,73.4537124633789,3.2736,1.8721,-0.2101,-0.1123
86.53704071044922,74.07771301269531,3.2329,3.7442,-0.209,0.1123
87.07002258300781,74.70513916015625,3.198,3.7647,-0.2065,0.0012
87.598388671875,75.01714324951172,3.1703,1.8721,-0.2043,-0.1136
88.12372589111328,75.65142822265625,3.1521,3.8059,-0.2025,0.116
88.64179229736328,76.27885437011719,3.1085,3.7647,-0.2013,-0.0025
89.15254211425781,76.59428405761719,3.0646,1.8927,-0.1986,-0.1123
89.65763854980469,77.22856903076172,3.0307,3.8059,-0.1958,0.1148
90.15821838378906,77.86628723144531,3.0036,3.8265,-0.1936,0.0012
90.65351867675781,78.18514251708984,2.9719,1.9132,-0.1918,-0.1148
91.14393615722656,78.82628631591797,2.9426,3.847,-0.1898,0.116
91.62893676757812,79.4605712890625,2.9101,3.8059,-0.188,-0.0025
92.10618591308594,79.7760009765625,2.8636,1.8927,-0.1859,-0.1148
92.57857513427734,80.40342712402344,2.8344,3.7647,-0.183,0.1123
93.04586791992188,81.03428649902344,2.8039,3.7853,-0.1811,0.0012
93.50819396972656,81.34628295898438,2.7741,1.8721,-0.1791,-0.1148
93.96475219726562,81.97028350830078,2.7395,3.7442,-0.1772,0.1123
94.4142074584961,82.59428405761719,2.6968,3.7442,-0.175,-0.0
94.8582763671875,82.90971374511719,2.6645,1.8927,-0.1723,-0.1111
95.29691314697266,83.54057312011719,2.6319,3.7853,-0.1702,0.1136
95.73030090332031,84.17142486572266,2.6004,3.7853,-0.1681,-0.0
96.15740203857422,84.48685455322266,2.5627,1.8927,-0.1661,-0.1136
96.57942199707031,85.11771392822266,2.5322,3.7853,-0.1637,0.1136
96.9952621459961,85.75199890136719,2.4951,3.8059,-0.1618,0.0012
97.40687561035156,86.07428741455078,2.4698,1.9338,-0.1594,-0.1123
97.81077575683594,86.70857238769531,2.4235,3.8059,-0.1578,0.1123
98.21062469482422,87.34285736083984,2.3992,3.8059,-0.1549,-0.0
98.6031265258789,87.66171264648438,2.3551,1.9132,-0.1533,-0.1136
98.994873046875,88.2959976196289,2.3506,3.8059,-0.1505,0.1136
99.37454986572266,88.91999816894531,2.2782,3.7442,-0.1501,-0.0037
99.75177001953125,89.23200225830078,2.2634,1.8721,-0.1457,-0.1123
100.12232208251953,89.85256958007812,2.2234,3.7236,-0.1446,0.1111
100.48762512207031,90.47657012939453,2.1919,3.7442,-0.1421,0.0012
100.84738159179688,90.78857421875,2.1586,1.8721,-0.14,-0.1123
101.2032470703125,91.4125747680664,2.1353,3.7442,-0.1379,0.1123
101.55237579345703,92.04685974121094,2.0949,3.8059,-0.1364,0.0037
101.89591217041016,92.36228942871094,2.0613,1.8927,-0.1339,-0.1148
102.23575592041016,92.9931411743164,2.0391,3.7853,-0.1317,0.1136
102.56893920898438,93.630859375,1.9992,3.8265,-0.1303,0.0025
102.89734649658203,93.94971466064453,1.9705,1.9132,-0.1278,-0.1148
103.22178649902344,94.58399963378906,1.9467,3.8059,-0.1259,0.1136
103.54035186767578,95.22171783447266,1.9115,3.8265,-0.1244,0.0012
103.85238647460938,95.53713989257812,1.8723,1.8926,-0.1222,-0.116
104.16070556640625,96.17485809326172,1.85,3.8265,-0.1197,0.116
104.46273040771484,96.80228424072266,1.8122,3.7647,-0.1182,-0.0037
104.76152038574219,97.11771392822266,1.7928,1.8927,-0.1158,-0.1123
105.0548095703125,97.7451400756836,1.7598,3.7647,-0.1145,0.1123
105.34329223632812,98.369140625,1.731,3.7442,-0.1125,-0.0012
105.6264419555664,98.6777114868164,1.699,1.8515,-0.1106,-0.1136
105.90584564208984,99.29828643798828,1.6765,3.7236,-0.1086,0.1123
106.1803970336914,99.93257141113281,1.6474,3.8059,-0.1071,0.0049
106.448486328125,100.24800109863281,1.6086,1.8927,-0.1053,-0.1148
106.71611785888672,100.87886047363281,1.6059,3.7853,-0.1028,0.1136
106.97944641113281,101.51314544677734,1.58,3.8059,-0.1025,0.0012
107.23048400878906,101.82857513427734,1.5063,1.8927,-0.101,-0.1148
107.482421875,102.46971130371094,1.5117,3.847,-0.0964,0.1173
107.72786712646484,103.10399627685547,1.4727,3.8059,-0.0965,-0.0025
107.97100067138672,103.42285919189453,1.4589,1.9133,-0.0942,-0.1136
108.20942687988281,104.06400299072266,1.4306,3.847,-0.0932,0.116
108.44416046142578,104.69485473632812,1.4085,3.7853,-0.0914,-0.0037
108.6744613647461,105.0068588256836,1.3819,1.8721,-0.09,-0.1148
108.89923858642578,105.5931396484375,1.3487,3.5178,-0.0883,0.0987
109.12167358398438,106.1520004272461,1.3347,3.3533,-0.0862,-0.0099
109.3386459350586,106.40228271484375,1.3019,1.5018,-0.0853,-0.1111
109.55311584472656,106.86856842041016,1.2869,2.7978,-0.0832,0.0778
109.76383972167969,107.31428527832031,1.2644,2.6744,-0.0822,-0.0074
