target tetha 1,target tetha 2,target tetha 3,target tetha 4,robot tetha 1,robot tetha 2,robot tetha 3,robot tetha 4,target kecepatan tetha1,target kecepatan tetha2,target kecepatan tetha3,target kecepatan tetha4,robot kecepatan tetha 1,robot kecepatan tetha 2,robot kecepatan tetha 3,robot kecepatan tetha 4,target percepatan tetha 1,target percepatan tetha 2,target percepatan tetha 3,target percepatan tetha 4,robot percepatan tetha 1,robot percepatan tetha 2,robot percepatan tetha 3,robot percepatan tetha 4
0.0,0.0,-52.71080017089844,106.85225677490234,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0282,-0.0211,-0.2,0.0,0.0,0.0,0.0,0.0,-0.0017,0.0013,0.012,0.0,0.0,0.0076
0.0,0.0,-52.705848693847656,106.84864044189453,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0297,-0.0217,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,0.0013,0.012,0.0,0.0,0.0
0.0,0.0,-52.70062255859375,106.84492492675781,-0.10000000149011612,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0314,-0.0223,-0.2,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0014,-0.012,0.0,0.0,0.0
0.0,0.0,-52.69511795043945,106.84112548828125,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.033,-0.0228,0.2,0.0,0.0,0.0,0.0,0.0,-0.002,0.0014,0.024,0.0,0.0,0.0
0.0,0.0,-52.68928527832031,106.83719635009766,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.035,-0.0236,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.0015,-0.012,0.0,0.0,0.0
0.0,0.0,-52.683128356933594,106.83316802978516,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0369,-0.0242,0.2,0.0,0.0,0.0,0.0,0.0,-0.0022,0.0015,0.012,0.0,0.0,0.0
0.0,0.0,-52.6766471862793,106.82903289794922,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0389,-0.0248,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.0015,-0.012,0.0,0.0,0.0
0.0,0.0,-52.66972732543945,106.82474517822266,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0415,-0.0257,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025,0.0016,0.0,0.0,0.0,0.0
0.0,0.0,-52.66258239746094,106.8204345703125,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0429,-0.0259,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026,0.0016,0.0,0.0,0.0,0.0
0.0,0.0,-52.65493392944336,106.8159408569336,-0.06666667014360428,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0459,-0.027,-0.2,0.0,0.0,0.0,0.0,0.0,-0.0027,0.0017,-0.012,0.0,0.0,0.0
