target tetha 1,target tetha 2,target tetha 3,target tetha 4,robot tetha 1,robot tetha 2,robot tetha 3,robot tetha 4,target kecepatan tetha1,target kecepatan tetha2,target kecepatan tetha3,target kecepatan tetha4,robot kecepatan tetha 1,robot kecepatan tetha 2,robot kecepatan tetha 3,robot kecepatan tetha 4,target percepatan tetha 1,target percepatan tetha 2,target percepatan tetha 3,target percepatan tetha 4,robot percepatan tetha 1,robot percepatan tetha 2,robot percepatan tetha 3,robot percepatan tetha 4
0.03340844437479973,119.416748046875,-52.51689529418945,106.90901184082031,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0343,-0.0212,0.1386,-0.0459,0.0,0.0,0.0,0.0,-0.0021,0.0013,-0.0075,0.0027,0.0,0.0,0.0,0.0
0.03950217738747597,119.41310119628906,-52.48951721191406,106.90067291259766,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0366,-0.0219,0.1643,-0.05,0.0,0.0,0.0,0.0,-0.0022,0.0014,-0.0088,0.0029,0.0,0.0,0.0,0.0
0.046027202159166336,119.40934753417969,-52.456939697265625,106.89154052734375,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0392,-0.0225,0.1955,-0.0548,0.0,0.0,0.0,0.0,-0.0023,0.0014,-0.0104,0.0032,0.0,0.0,0.0,0.0
0.052814316004514694,119.40557861328125,-52.41933059692383,106.88182067871094,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0407,-0.0226,0.2257,-0.0583,0.0,0.0,0.0,0.0,-0.0025,0.0014,-0.0124,0.0035,0.0,0.0,0.0,0.0
0.06008134037256241,119.40168762207031,-52.374691009521484,106.8711929321289,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0436,-0.0233,0.2678,-0.0638,0.0,0.0,0.0,0.0,-0.0026,0.0014,-0.0143,0.0037,0.0,0.0,0.0,0.0
0.06776713579893112,119.39771270751953,-52.3223876953125,106.85968780517578,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0461,-0.0239,0.3138,-0.069,0.0,0.0,0.0,0.0,-0.0028,0.0015,-0.0169,0.0041,0.0,0.0,0.0,0.0
0.0759456679224968,119.39364624023438,-52.26079559326172,106.84717559814453,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0491,-0.0244,0.3696,-0.0751,0.0,0.0,0.0,0.0,-0.0029,0.0015,-0.0198,0.0044,0.0,0.0,0.0,0.0
0.08462594449520111,119.38948059082031,-52.18852996826172,106.83360290527344,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0521,-0.025,0.4336,-0.0814,0.0,0.0,0.0,0.0,-0.0031,0.0016,-0.0234,0.0048,0.0,0.0,0.0,0.0
0.0937986969947815,119.38523864746094,-52.104248046875,106.81893920898438,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.055,-0.0255,0.5057,-0.088,0.0,0.0,0.0,0.0,-0.0033,0.0016,-0.0274,0.0052,0.0,0.0,0.0,0.0
0.10351931303739548,119.38090515136719,-52.005863189697266,106.80305480957031,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0583,-0.026,0.5903,-0.0953,0.0,0.0,0.0,0.0,-0.0035,0.0016,-0.032,0.0056,0.0,0.0,0.0,0.0
0.11388012766838074,119.37644958496094,-51.89057159423828,106.7857437133789,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0622,-0.0267,0.6918,-0.1039,0.0,0.0,0.0,0.0,-0.0037,0.0017,-0.0373,0.0061,0.0,0.0,0.0,0.0
0.1248231753706932,119.37191009521484,-51.75699996948242,106.76705932617188,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.02833557128906,0.0657,-0.0272,0.8015,-0.1121,0.0,0.0,0.0,0.1269,-0.004,0.0017,-0.0437,0.0066,0.0,0.0,0.0,0.0076
0.1364278495311737,119.36727142333984,-51.60209274291992,106.7468032836914,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.02833557128906,0.0696,-0.0278,0.9295,-0.1215,0.0,0.0,0.0,0.0,-0.0042,0.0017,-0.0507,0.0071,0.0,0.0,0.0,-0.0076
